value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,label
24,22,12,8,14,18,12,14,18,12,8,27,12,24,36,31,22,32,48,40,27,44,26,25,8,12,13,2,19,36,38,36,55,42,37,34,49,52,32,12,32,47,37,34,29,25,28,41,24,38,32,13,31,19,10,21,25,9,14,2,18,29,28,15,26,42,25,37,38,23,0
74,77,59,70,53,50,58,74,61,81,62,44,31,31,44,53,55,70,80,75,67,68,58,64,72,70,81,78,62,51,70,69,50,31,12,21,10,16,35,27,29,44,61,81,72,74,76,66,56,36,40,57,54,72,52,52,61,76,63,70,79,86,69,70,59,45,58,68,64,72,1
61,66,85,88,77,62,43,56,53,56,47,50,37,17,25,14,7,19,29,34,48,59,78,89,69,66,84,85,79,99,87,79,80,81,89,71,69,84,69,62,69,79,84,69,51,39,21,17,27,20,37,56,39,26,16,22,34,45,48,29,39,25,25,42,33,15,16,22,12,7,0
41,42,44,58,62,71,80,62,72,87,80,81,75,77,64,67,86,98,84,99,96,84,97,87,86,84,95,92,94,94,99,87,100,91,76,88,82,79,81,67,60,53,52,65,74,82,68,77,86,91,75,79,88,86,95,82,83,92,89,91,98,89,80,75,62,54,47,46,57,71,0
41,25,12,2,22,26,32,18,36,47,47,44,25,9,12,10,26,43,50,60,63,75,93,84,72,66,68,69,84,73,80,94,97,81,64,58,67,72,74,92,100,82,79,93,86,98,84,97,86,89,93,88,94,91,76,63,63,83,81,94,80,82,74,92,99,84,75,57,56,76,0
24,30,29,18,20,11,1,18,25,16,10,29,25,10,14,18,35,40,26,17,8,13,24,34,17,14,3,5,1,12,5,13,7,26,27,43,33,31,19,11,12,27,13,32,32,18,29,32,35,54,60,45,31,37,26,46,28,29,19,31,14,2,21,36,39,21,31,20,10,5,0
85,66,63,70,53,38,55,43,42,51,67,84,67,84,76,90,99,88,71,75,85,76,70,75,64,55,56,75,75,89,75,72,78,92,86,67,78,72,75,74,63,66,69,72,91,86,99,87,77,82,62,71,68,73,61,49,29,15,16,11,19,25,33,31,28,36,31,50,37,50,0
42,34,34,50,52,38,34,41,50,34,37,23,36,48,54,47,45,62,53,35,21,35,39,33,31,29,31,21,21,34,52,38,44,46,63,62,68,55,71,53,34,35,20,39,58,73,76,67,63,64,62,50,41,52,62,58,60,49,58,56,61,66,56,55,38,29,33,22,23,9,0
75,90,85,89,69,74,83,68,74,72,89,81,79,97,88,99,94,74,78,70,59,56,71,72,57,63,50,53,52,53,41,60,78,76,56,46,66,55,35,41,37,33,51,32,34,54,43,52,66,70,66,64,61,58,72,61,63,64,52,63,68,76,74,82,96,87,74,78,84,69,0
6,1,10,5,8,14,6,1,13,32,23,41,42,35,49,52,66,60,52,71,71,53,40,33,22,34,21,4,23,11,29,9,29,31,23,31,40,58,60,60,78,70,80,72,77,80,84,67,67,53,38,23,41,51,39,20,21,7,1,7,9,25,17,31,16,14,30,31,14,29,0
52,44,62,61,72,61,66,64,72,64,77,76,95,92,96,77,64,59,78,80,91,100,92,97,82,62,43,61,53,59,42,62,61,43,45,26,21,10,28,25,6,14,20,40,42,28,21,37,24,8,23,43,32,38,52,32,18,8,11,2,20,28,41,40,47,63,45,33,34,38,0
36,37,46,26,17,6,14,17,32,46,49,67,49,44,47,42,31,28,19,22,42,60,76,74,72,53,54,73,67,50,43,49,48,63,47,65,70,74,61,73,92,72,81,72,66,82,86,66,83,69,63,81,92,79,88,87,95,76,70,79,64,66,65,71,54,60,44,40,40,54,0
80,81,66,57,60,44,63,61,56,48,56,43,55,52,70,78,72,75,63,75,64,84,77,72,78,79,79,73,71,52,66,82,70,76,78,69,68,56,62,57,65,70,62,49,29,24,40,28,17,14,3,2,6,20,28,31,28,23,3,19,36,42,46,42,60,77,97,80,74,73,1
84,72,66,78,64,46,48,49,67,59,47,60,51,64,76,90,97,83,65,56,48,30,27,32,21,4,5,12,21,16,17,31,36,17,29,38,28,44,57,43,61,69,81,87,82,78,68,61,53,67,72,76,95,86,77,60,80,86,73,60,68,50,50,60,52,62,58,69,72,53,0
34,53,72,88,75,55,45,26,17,15,11,26,41,50,50,54,42,61,73,76,71,76,58,39,28,43,44,45,45,42,39,55,74,75,62,82,75,64,68,51,70,77,77,70,56,68,74,90,76,63,74,78,76,62,73,75,58,71,59,76,57,72,89,71,75,71,70,61,55,65,1
43,37,54,55,66,80,87,79,63,46,43,44,63,75,59,72,55,57,61,64,64,51,48,48,67,48,34,44,52,55,70,53,73,68,64,76,89,76,79,64,68,63,45,30,32,25,42,54,61,64,54,59,58,74,92,78,70,70,75,61,79,66,79,73,82,64,45,58,60,64,1
45,32,47,32,52,41,56,39,57,50,41,37,37,29,41,33,21,20,40,20,13,22,14,1,14,33,17,30,14,25,30,28,19,8,10,18,11,30,39,23,26,18,36,42,53,46,66,47,30,20,37,54,70,62,50,56,37,43,34,25,7,26,20,27,41,33,17,17,19,20,0
56,50,33,23,8,3,22,40,42,40,58,74,56,64,76,65,84,68,57,58,48,55,53,49,65,54,61,59,64,62,80,80,75,94,77,74,70,63,65,75,76,64,69,56,73,84,71,62,46,55,39,38,40,45,62,81,76,70,59,70,71,71,64,49,56,50,37,25,20,23,1
80,83,77,79,78,69,72,69,62,78,59,78,79,59,54,58,67,59,66,72,52,55,68,54,73,79,84,74,79,80,61,46,57,53,72,88,77,62,58,40,34,46,63,47,63,62,44,62,70,56,71,70,81,61,54,53,36,16,11,6,21,41,43,43,24,35,38,36,42,27,1
92,72,59,49,40,28,17,16,34,24,40,35,43,59,74,68,78,73,84,71,77,65,77,60,57,69,51,35,27,29,40,52,37,41,22,37,22,25,22,27,26,30,11,30,50,38,39,53,60,52,62,74,80,63,73,66,74,74,89,77,78,76,72,61,75,79,70,78,96,80,1
26,35,27,25,33,15,26,45,36,17,11,12,28,25,17,37,38,29,10,5,7,26,31,34,25,20,23,42,30,41,35,51,43,27,17,10,20,13,15,7,8,28,39,53,47,62,62,47,27,10,11,12,26,42,44,52,52,58,76,95,87,89,95,90,99,82,77,87,91,82,0
26,42,23,3,4,10,24,13,15,18,12,8,10,1,3,6,23,18,21,13,6,7,20,29,10,24,7,20,8,22,3,4,23,43,61,58,70,59,77,74,72,82,76,94,75,74,85,92,97,83,100,97,90,80,69,50,64,76,69,57,43,45,31,11,20,40,54,71,58,68,0
69,65,64,77,58,78,68,64,81,74,61,70,50,37,57,69,59,68,63,65,71,80,68,70,80,67,57,47,38,47,64,79,60,80,78,77,60,77,83,63,80,75,59,76,78,68,69,74,62,49,58,57,68,63,81,65,53,35,35,51,70,70,71,62,78,64,81,63,55,54,1
100,80,70,57,75,72,67,69,69,49,32,15,34,42,56,73,72,57,74,78,96,79,65,76,80,77,70,70,76,84,75,67,65,77,77,60,67,59,70,64,84,65,53,61,77,58,58,42,41,21,3,10,8,16,29,48,56,69,50,33,53,41,21,15,15,5,9,12,14,23,1
37,21,37,26,15,9,14,33,41,44,29,34,52,34,53,64,69,51,42,35,33,16,12,3,22,24,6,3,7,10,25,20,13,19,28,45,33,29,15,8,5,20,12,22,29,10,16,28,32,38,52,46,60,72,74,80,97,84,67,51,46,43,40,27,35,35,53,59,40,23,0
60,48,47,63,51,59,77,71,67,81,65,52,65,59,65,80,62,77,67,69,74,75,71,86,74,56,60,70,80,67,76,69,50,59,46,34,49,67,86,74,73,55,55,45,34,34,24,12,4,2,8,12,25,34,31,46,43,58,44,33,52,72,69,86,73,69,76,75,80,80,1
1,2,16,8,21,31,33,23,18,27,13,24,35,49,59,67,50,64,54,67,85,79,72,72,58,54,51,44,61,69,58,54,65,64,60,46,64,73,90,77,97,94,83,94,98,98,93,89,69,87,92,80,92,97,86,75,86,98,88,96,94,91,73,80,97,86,68,76,71,86,0
81,70,74,71,65,71,69,63,49,68,63,66,68,58,61,45,63,72,67,66,74,70,68,73,67,71,65,64,73,73,87,72,88,78,80,98,86,83,98,85,100,98,83,77,68,49,37,51,31,41,48,64,50,45,38,50,35,35,24,35,20,2,7,17,27,20,23,41,41,61,0
5,16,34,29,33,49,36,44,48,50,63,45,54,67,78,86,74,55,73,59,43,30,41,38,55,52,72,67,67,56,39,26,24,43,62,50,59,55,74,68,51,36,31,36,52,54,46,42,48,49,65,63,81,95,87,80,90,82,63,81,97,90,78,67,53,60,64,71,52,48,0
76,73,85,68,87,92,74,76,83,97,98,81,68,53,72,53,44,52,42,40,22,22,27,33,41,34,14,19,36,21,13,19,4,18,24,40,60,71,72,83,79,96,89,89,81,83,83,89,74,65,54,52,43,59,79,69,60,45,50,41,23,27,47,30,32,12,4,17,9,18,0
31,47,65,81,74,79,73,69,66,59,79,74,91,73,64,80,76,72,58,77,59,77,58,76,70,60,72,67,54,64,68,68,83,79,67,52,58,53,52,47,67,57,59,75,79,68,73,67,62,64,79,72,76,90,79,67,49,48,39,49,32,47,38,20,25,28,34,23,20,40,1
69,53,73,81,94,81,82,91,98,89,100,84,93,74,85,72,76,89,87,90,80,90,91,73,53,42,27,13,9,1,13,30,50,67,77,82,95,91,86,82,63,68,53,70,68,67,55,36,52,61,73,78,93,87,100,90,84,76,80,89,91,86,68,58,68,54,55,74,67,53,0
84,68,74,57,54,57,65,61,49,62,69,55,60,63,72,69,73,76,79,96,76,75,66,65,45,41,22,22,19,31,35,23,41,45,58,61,69,80,65,46,35,54,58,58,51,66,72,90,78,63,80,80,73,78,68,55,69,56,66,50,49,64,72,64,83,63,47,43,24,38,1
71,65,82,86,87,89,86,75,90,74,60,64,83,86,70,70,89,88,96,80,79,76,59,49,50,43,50,33,28,45,47,39,38,22,20,21,5,14,6,5,24,32,40,21,6,2,12,22,5,13,6,3,13,23,37,42,30,32,15,34,50,37,50,66,51,37,57,75,90,74,0
