value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,label
0.526361,0.697265,0.983864,0.713062,0.55003,0.607461,0.187683,0.152514,0.369349,0.795797,0.496324,0.442699,0.161245,0.065854,0.0,0.147699,0.657896,0.664175,0.918564,0.909034,0.579736,0.482312,0.267715,0.370664,0.474338,0.441547,0.785844,0.725519,0.281002,0.007554,0.181493,0.369294,0.468656,0.755798,0.920646,0.720894,0.644134,0.597108,0.289315,0.238486,0.530849,0.570826,0.657572,0.413444,0.200643,0.160411,0.051577,0.120101,0.495602,0.719494,0.854867,0.986175,0.744505,0.43485,0.318569,0.334898,0.529945,0.558462,0.744388,0.565067,0.272937,0.045887,0.119356,0.178564,0.419116,0.740294,1.0,0.726875,0.638127,0.536889,0.0
0.505197,0.727177,0.816462,0.742795,0.754809,0.43877,0.19992,0.370714,0.484633,0.765336,0.637098,0.635513,0.318018,0.046751,0.141843,0.344908,0.585692,0.802308,1.0,0.8827,0.686318,0.338306,0.361862,0.50086,0.367924,0.531962,0.644366,0.43554,0.395353,0.0,0.159746,0.326644,0.564283,0.777171,0.960349,0.769177,0.701544,0.411459,0.419963,0.432545,0.438629,0.674448,0.706042,0.511042,0.338677,0.191749,0.06235,0.164773,0.52754,0.902455,0.901529,0.837955,0.611426,0.562905,0.418629,0.359201,0.440599,0.576111,0.59912,0.509398,0.288731,0.084734,0.196958,0.376393,0.414742,0.726492,0.833419,0.895388,0.650203,0.376156,0.0
0.446807,0.810501,0.757435,1.0,0.651752,0.649847,0.30413,0.425982,0.550566,0.505286,0.693015,0.592342,0.405636,0.271442,0.0,0.299296,0.408818,0.675216,0.799224,0.861793,0.721634,0.441844,0.349801,0.252886,0.533245,0.59453,0.574454,0.344503,0.263484,0.148496,0.170284,0.173572,0.479008,0.877029,0.980144,0.800441,0.62762,0.614159,0.366112,0.351763,0.49862,0.561534,0.546285,0.521651,0.443891,0.152467,0.106389,0.305259,0.516467,0.635239,0.913427,0.69604,0.765701,0.50741,0.390341,0.547958,0.418138,0.690367,0.676012,0.592337,0.312418,0.211227,0.118589,0.336978,0.529302,0.833658,0.832982,0.805399,0.577049,0.568392,0.0
0.611862,0.910605,0.903214,0.882358,0.645986,0.443769,0.443514,0.37058,0.586048,0.678345,0.769969,0.556021,0.469568,0.351008,0.005837,0.276819,0.538451,0.747927,0.978265,0.992539,0.548404,0.331765,0.524295,0.392751,0.553724,0.590074,0.710781,0.703631,0.420214,0.209983,0.0,0.346787,0.54703,0.756954,0.99796,0.827566,0.760841,0.605531,0.398312,0.377298,0.498275,0.711693,0.670858,0.78724,0.26001,0.182954,0.171185,0.297409,0.499231,0.911184,1.0,0.960624,0.657866,0.469793,0.426307,0.3206,0.602007,0.671161,0.796288,0.553069,0.530653,0.228233,0.191958,0.2265,0.567459,0.761879,0.815017,0.882226,0.811298,0.498172,0.0
0.481486,0.844999,1.0,0.96052,0.574325,0.528714,0.297006,0.40338,0.593298,0.62229,0.686145,0.508616,0.44558,0.168292,0.100407,0.297689,0.589899,0.653604,0.928097,0.809795,0.727765,0.436183,0.297663,0.33561,0.530328,0.685156,0.619426,0.561806,0.308509,0.155865,0.103621,0.214984,0.420996,0.757865,0.981362,0.85584,0.651599,0.540668,0.326957,0.406871,0.394488,0.642559,0.642451,0.410472,0.324068,0.0,0.095983,0.3098,0.445671,0.707619,0.77199,0.871896,0.640173,0.473867,0.456494,0.312722,0.617056,0.622747,0.751701,0.548579,0.230411,0.087424,0.121982,0.139567,0.559086,0.82841,0.774906,0.826642,0.66777,0.531437,0.0
0.45483,0.700837,0.94066,0.969315,0.690385,0.290141,0.224546,0.27973,0.273967,0.717003,0.540277,0.543438,0.283293,0.11556,0.037678,0.100178,0.62519,0.639274,0.817741,0.949475,0.630808,0.450023,0.362248,0.45939,0.491858,0.531588,0.500231,0.550627,0.37459,0.0,0.04224,0.175683,0.361871,0.948772,0.708299,0.844744,0.605859,0.356602,0.312669,0.433425,0.650953,0.63168,0.609871,0.467026,0.206975,0.246319,0.148727,0.175214,0.506777,0.694521,1.0,0.880569,0.732806,0.461886,0.314138,0.370295,0.507577,0.656238,0.651114,0.535627,0.295358,0.121455,0.049609,0.165462,0.409306,0.776136,0.890167,0.76202,0.74757,0.420919,0.0
28.0,48.0,36.0,31.0,19.0,28.0,39.0,26.0,19.0,26.0,36.0,51.0,68.0,87.0,69.0,59.0,51.0,55.0,61.0,66.0,50.0,56.0,72.0,73.0,93.0,77.0,75.0,70.0,80.0,65.0,51.0,52.0,60.0,64.0,77.0,61.0,62.0,69.0,69.0,60.0,56.0,75.0,67.0,84.0,71.0,57.0,70.0,75.0,68.0,71.0,58.0,55.0,64.0,63.0,78.0,70.0,50.0,45.0,36.0,56.0,39.0,57.0,74.0,65.0,68.0,81.0,63.0,71.0,55.0,39.0,1.0
40.0,46.0,27.0,40.0,60.0,59.0,73.0,78.0,80.0,90.0,76.0,62.0,79.0,65.0,46.0,61.0,69.0,71.0,75.0,66.0,64.0,76.0,69.0,75.0,78.0,72.0,75.0,74.0,73.0,67.0,67.0,78.0,64.0,73.0,63.0,78.0,71.0,91.0,78.0,58.0,68.0,74.0,63.0,65.0,77.0,78.0,64.0,82.0,68.0,48.0,43.0,33.0,47.0,54.0,71.0,68.0,52.0,38.0,52.0,42.0,43.0,45.0,62.0,79.0,76.0,77.0,92.0,79.0,59.0,44.0,1.0
73.0,65.0,56.0,68.0,67.0,83.0,71.0,68.0,50.0,59.0,47.0,66.0,72.0,68.0,74.0,80.0,75.0,68.0,63.0,71.0,63.0,81.0,80.0,70.0,66.0,59.0,68.0,66.0,56.0,76.0,90.0,77.0,74.0,65.0,60.0,49.0,61.0,78.0,78.0,62.0,78.0,58.0,78.0,68.0,48.0,65.0,81.0,62.0,62.0,52.0,54.0,51.0,43.0,42.0,37.0,46.0,60.0,72.0,66.0,78.0,74.0,77.0,69.0,54.0,59.0,61.0,50.0,66.0,58.0,39.0,1.0
0.577712,0.677863,1.0,0.835487,0.771171,0.42541,0.396158,0.211421,0.507996,0.663096,0.598709,0.565006,0.576126,0.062914,0.143713,0.194299,0.622533,0.812475,0.8874,0.894677,0.839105,0.431654,0.428153,0.28564,0.553688,0.647969,0.788538,0.557214,0.454321,0.081548,0.0,0.161679,0.558319,0.695396,0.737216,0.854159,0.705769,0.434069,0.252088,0.480582,0.588151,0.685751,0.797933,0.483461,0.32512,0.253418,0.118332,0.393893,0.365235,0.631175,0.88773,0.934465,0.753623,0.452488,0.440317,0.415226,0.523328,0.772004,0.690368,0.49865,0.324517,0.062691,0.087082,0.174531,0.401569,0.747789,0.799926,0.948871,0.747151,0.561761,0.0
88.0,73.0,62.0,74.0,57.0,40.0,51.0,55.0,43.0,45.0,46.0,54.0,69.0,76.0,77.0,84.0,66.0,75.0,63.0,54.0,65.0,62.0,54.0,55.0,64.0,45.0,42.0,52.0,34.0,54.0,67.0,60.0,56.0,43.0,47.0,49.0,41.0,53.0,44.0,63.0,75.0,60.0,76.0,87.0,77.0,75.0,72.0,72.0,72.0,68.0,74.0,58.0,76.0,68.0,54.0,45.0,53.0,61.0,70.0,71.0,67.0,73.0,84.0,65.0,79.0,59.0,66.0,72.0,59.0,41.0,1.0
0.529079,0.782858,0.91266,0.702697,0.553313,0.43473,0.329857,0.437081,0.404053,0.588289,0.716127,0.484562,0.296857,0.0913,0.097363,0.230211,0.316238,0.773878,1.0,0.692937,0.652252,0.458862,0.177248,0.252626,0.395006,0.607046,0.500272,0.43798,0.313718,0.168384,0.051483,0.097706,0.429764,0.736114,0.986816,0.847183,0.800908,0.480129,0.393088,0.262071,0.517824,0.603847,0.824939,0.466829,0.434362,0.241292,0.0,0.21371,0.331109,0.873188,0.674391,0.673767,0.610155,0.329583,0.204706,0.288512,0.53455,0.673473,0.655493,0.538832,0.286078,0.183336,0.059405,0.120404,0.429819,0.739384,0.930206,0.83901,0.518832,0.481571,0.0
72.0,53.0,64.0,50.0,51.0,65.0,81.0,66.0,63.0,74.0,80.0,67.0,51.0,65.0,62.0,79.0,61.0,81.0,76.0,73.0,68.0,75.0,68.0,76.0,57.0,54.0,68.0,55.0,72.0,60.0,77.0,72.0,69.0,49.0,49.0,43.0,53.0,67.0,67.0,55.0,56.0,56.0,68.0,83.0,68.0,63.0,61.0,80.0,80.0,77.0,68.0,59.0,69.0,70.0,83.0,75.0,65.0,66.0,66.0,56.0,48.0,32.0,27.0,29.0,12.0,23.0,20.0,4.0,15.0,27.0,1.0
0.523528,0.845107,0.898587,1.0,0.813845,0.427145,0.304548,0.314687,0.540614,0.528374,0.6134,0.499488,0.547137,0.144982,0.0,0.265947,0.443322,0.792087,0.86221,0.846367,0.538131,0.450361,0.453075,0.351687,0.514556,0.658399,0.607964,0.458061,0.551479,0.236651,0.136103,0.372797,0.52763,0.806181,0.919874,0.90799,0.578749,0.460017,0.433637,0.387362,0.439402,0.613449,0.659129,0.430719,0.477694,0.094408,0.236181,0.392005,0.446653,0.809359,0.926924,0.826347,0.773072,0.520124,0.394771,0.516182,0.568451,0.634039,0.571506,0.548348,0.241778,0.284603,0.135529,0.240513,0.583037,0.73963,0.997687,0.782671,0.632884,0.52353,0.0
0.544223,0.865491,0.890227,0.849614,0.791919,0.55952,0.369085,0.351644,0.508281,0.665872,0.616684,0.626549,0.310738,0.178805,0.088594,0.37696,0.429865,0.833849,0.916202,0.922308,0.695355,0.516891,0.31458,0.44489,0.458301,0.621537,0.614537,0.548884,0.223717,0.304124,0.072308,0.229422,0.559546,0.810143,0.837845,0.94748,0.726399,0.24475,0.375703,0.146717,0.399524,0.616355,0.741429,0.613657,0.224329,0.077339,0.0,0.259527,0.491992,0.872419,0.880321,0.816199,0.672043,0.495166,0.352991,0.397062,0.453963,0.631708,0.452605,0.580809,0.134277,0.166625,0.053366,0.247212,0.551362,0.788539,1.0,0.885578,0.549287,0.688812,0.0
86.0,73.0,61.0,69.0,75.0,68.0,71.0,51.0,64.0,74.0,65.0,53.0,61.0,75.0,57.0,73.0,79.0,80.0,75.0,69.0,79.0,91.0,75.0,75.0,75.0,60.0,78.0,74.0,79.0,73.0,92.0,73.0,59.0,74.0,70.0,75.0,74.0,69.0,49.0,67.0,80.0,64.0,81.0,63.0,47.0,58.0,59.0,63.0,46.0,50.0,61.0,76.0,65.0,73.0,62.0,47.0,33.0,30.0,13.0,32.0,39.0,45.0,25.0,25.0,37.0,42.0,39.0,51.0,69.0,68.0,1.0
0.560209,0.674124,1.0,0.967276,0.682809,0.253584,0.251658,0.222371,0.462745,0.551696,0.665385,0.415503,0.122549,0.213759,0.176039,0.036169,0.431054,0.693842,0.809551,0.917622,0.648362,0.28994,0.377646,0.35641,0.480078,0.656457,0.473866,0.513919,0.354445,0.088133,0.054622,0.186307,0.54599,0.63851,0.841438,0.774695,0.752,0.443273,0.317748,0.176817,0.364637,0.661535,0.613838,0.564846,0.378093,0.231236,0.0,0.363899,0.502199,0.762229,0.710739,0.864502,0.568236,0.443255,0.469471,0.377522,0.491717,0.636106,0.569375,0.390371,0.362891,0.144703,0.196469,0.148894,0.371187,0.78418,0.804858,0.688939,0.58916,0.349274,0.0
0.489162,0.56455,1.0,0.941705,0.691582,0.549836,0.52015,0.377624,0.391573,0.723204,0.565159,0.578337,0.373206,0.369769,0.245895,0.397437,0.647414,0.771867,0.850763,0.967534,0.802774,0.525417,0.379597,0.506292,0.489071,0.70408,0.660172,0.59926,0.42496,0.0,0.245112,0.210582,0.611829,0.806412,0.8973,0.871142,0.668443,0.601947,0.344754,0.354173,0.600469,0.489736,0.675923,0.584915,0.33053,0.097948,0.096385,0.334727,0.415683,0.665355,0.824596,0.883607,0.596709,0.509864,0.454847,0.436348,0.477118,0.793275,0.857375,0.523938,0.206685,0.232647,0.237247,0.094861,0.566598,0.680191,0.975477,0.748056,0.720099,0.515545,0.0
46.0,54.0,64.0,78.0,83.0,76.0,59.0,44.0,26.0,30.0,20.0,22.0,2.0,18.0,23.0,41.0,43.0,44.0,55.0,72.0,88.0,73.0,62.0,59.0,64.0,56.0,38.0,38.0,49.0,34.0,21.0,24.0,22.0,36.0,44.0,62.0,82.0,63.0,55.0,44.0,49.0,51.0,31.0,51.0,38.0,27.0,34.0,20.0,32.0,46.0,60.0,61.0,81.0,68.0,68.0,61.0,44.0,40.0,29.0,20.0,4.0,13.0,21.0,7.0,12.0,8.0,5.0,13.0,18.0,26.0,1.0
0.521406,0.725797,0.719817,1.0,0.661111,0.354868,0.385446,0.548187,0.68171,0.663135,0.689542,0.669265,0.388535,0.273364,0.261554,0.240574,0.654952,0.705958,0.841147,0.854937,0.756311,0.556065,0.401684,0.449446,0.621464,0.659524,0.623905,0.537148,0.465108,0.181493,0.08761,0.296335,0.538472,0.831692,0.781612,0.872758,0.771604,0.448064,0.411153,0.273527,0.607005,0.716402,0.681135,0.484812,0.447594,0.222406,0.0,0.374542,0.627991,0.866287,0.794673,0.70923,0.65877,0.544537,0.337134,0.313957,0.596268,0.633976,0.727562,0.581853,0.387408,0.235474,0.174992,0.285183,0.464345,0.804441,0.977079,0.811563,0.823253,0.534329,0.0
0.456004,0.774876,1.0,0.612871,0.569181,0.403527,0.246448,0.39232,0.412291,0.544071,0.538666,0.480043,0.200188,0.0719,0.0,0.263456,0.568778,0.711414,0.803955,0.733325,0.615894,0.449753,0.303141,0.273551,0.561741,0.477933,0.510225,0.499816,0.363376,0.21057,0.209371,0.265138,0.53813,0.60134,0.888082,0.656323,0.510355,0.420285,0.371489,0.417093,0.352566,0.581984,0.548269,0.463369,0.472765,0.224046,0.10877,0.26823,0.331305,0.604111,0.756761,0.74178,0.589784,0.460334,0.32583,0.373873,0.441978,0.549922,0.624851,0.461444,0.388324,0.189941,0.149693,0.405953,0.390926,0.772963,0.765887,0.742549,0.615978,0.432519,0.0
68.0,81.0,71.0,56.0,73.0,76.0,74.0,69.0,76.0,78.0,68.0,59.0,45.0,38.0,36.0,36.0,45.0,49.0,33.0,36.0,28.0,24.0,39.0,43.0,40.0,35.0,27.0,31.0,50.0,36.0,21.0,39.0,38.0,30.0,34.0,54.0,63.0,83.0,65.0,62.0,66.0,67.0,66.0,78.0,80.0,73.0,61.0,81.0,74.0,54.0,72.0,72.0,56.0,63.0,61.0,62.0,73.0,80.0,69.0,89.0,80.0,74.0,75.0,72.0,64.0,53.0,51.0,32.0,14.0,3.0,1.0
22.0,42.0,51.0,57.0,73.0,89.0,76.0,65.0,47.0,29.0,31.0,24.0,25.0,25.0,9.0,9.0,3.0,5.0,17.0,35.0,42.0,42.0,36.0,50.0,53.0,61.0,74.0,83.0,66.0,60.0,59.0,41.0,21.0,29.0,32.0,42.0,62.0,68.0,65.0,61.0,81.0,73.0,79.0,61.0,57.0,39.0,38.0,41.0,60.0,74.0,68.0,48.0,64.0,71.0,64.0,48.0,66.0,55.0,59.0,62.0,56.0,56.0,73.0,76.0,88.0,70.0,79.0,70.0,79.0,67.0,1.0
0.61125,0.78805,0.894492,1.0,0.558351,0.507729,0.404969,0.400917,0.466345,0.834867,0.737817,0.477451,0.288564,0.0,0.095097,0.422964,0.39224,0.805047,0.887259,0.898067,0.714672,0.484647,0.227702,0.306069,0.478137,0.658173,0.791598,0.740615,0.332536,0.117825,0.121425,0.270753,0.670724,0.655714,0.977272,0.968997,0.605211,0.580277,0.263888,0.251003,0.493165,0.713523,0.513967,0.408351,0.43398,0.141808,0.140724,0.296871,0.387782,0.729067,0.913579,0.79472,0.649463,0.548658,0.174298,0.391143,0.423783,0.624296,0.654591,0.56549,0.336319,0.180532,0.161186,0.113395,0.483149,0.711563,0.769416,0.78693,0.770022,0.447837,0.0
